27530,2753*,275**,27***,2****,*****
27531,2753*,275**,27***,2****,*****
27534,2753*,275**,27***,2****,*****
27536,2753*,275**,27***,2****,*****
27537,2753*,275**,27***,2****,*****
27539,2753*,275**,27***,2****,*****
27540,2754*,275**,27***,2****,*****
27541,2754*,275**,27***,2****,*****
27542,2754*,275**,27***,2****,*****
27544,2754*,275**,27***,2****,*****
27545,2754*,275**,27***,2****,*****
27546,2754*,275**,27***,2****,*****
27549,2754*,275**,27***,2****,*****
27551,2755*,275**,27***,2****,*****
27553,2755*,275**,27***,2****,*****
27555,2755*,275**,27***,2****,*****
27556,2755*,275**,27***,2****,*****
27557,2755*,275**,27***,2****,*****
27559,2755*,275**,27***,2****,*****
27560,2756*,275**,27***,2****,*****
27562,2756*,275**,27***,2****,*****
27563,2756*,275**,27***,2****,*****
27565,2756*,275**,27***,2****,*****
27568,2756*,275**,27***,2****,*****
27569,2756*,275**,27***,2****,*****
27571,2757*,275**,27***,2****,*****
27572,2757*,275**,27***,2****,*****
27573,2757*,275**,27***,2****,*****
27574,2757*,275**,27***,2****,*****
27576,2757*,275**,27***,2****,*****
27577,2757*,275**,27***,2****,*****
27581,2758*,275**,27***,2****,*****
27582,2758*,275**,27***,2****,*****
27583,2758*,275**,27***,2****,*****
27586,2758*,275**,27***,2****,*****
27587,2758*,275**,27***,2****,*****
27589,2758*,275**,27***,2****,*****
27591,2759*,275**,27***,2****,*****
27592,2759*,275**,27***,2****,*****
27593,2759*,275**,27***,2****,*****
27596,2759*,275**,27***,2****,*****
27597,2759*,275**,27***,2****,*****
27599,2759*,275**,27***,2****,*****
27601,2760*,276**,27***,2****,*****
27603,2760*,276**,27***,2****,*****
27604,2760*,276**,27***,2****,*****
27605,2760*,276**,27***,2****,*****
27606,2760*,276**,27***,2****,*****
27607,2760*,276**,27***,2****,*****
27608,2760*,276**,27***,2****,*****
27609,2760*,276**,27***,2****,*****
27610,2761*,276**,27***,2****,*****
27612,2761*,276**,27***,2****,*****
27613,2761*,276**,27***,2****,*****
27614,2761*,276**,27***,2****,*****
27615,2761*,276**,27***,2****,*****
27616,2761*,276**,27***,2****,*****
27617,2761*,276**,27***,2****,*****
27699,2769*,276**,27***,2****,*****
27701,2770*,277**,27***,2****,*****
27703,2770*,277**,27***,2****,*****
27704,2770*,277**,27***,2****,*****
27705,2770*,277**,27***,2****,*****
27707,2770*,277**,27***,2****,*****
27708,2770*,277**,27***,2****,*****
27712,2771*,277**,27***,2****,*****
27713,2771*,277**,27***,2****,*****
27801,2780*,278**,27***,2****,*****
27802,2780*,278**,27***,2****,*****
27803,2780*,278**,27***,2****,*****
27804,2780*,278**,27***,2****,*****
27805,2780*,278**,27***,2****,*****
27806,2780*,278**,27***,2****,*****
27807,2780*,278**,27***,2****,*****
27808,2780*,278**,27***,2****,*****
27809,2780*,278**,27***,2****,*****
27810,2781*,278**,27***,2****,*****
27811,2781*,278**,27***,2****,*****
27812,2781*,278**,27***,2****,*****
27813,2781*,278**,27***,2****,*****
27814,2781*,278**,27***,2****,*****
27816,2781*,278**,27***,2****,*****
27817,2781*,278**,27***,2****,*****
27818,2781*,278**,27***,2****,*****
27819,2781*,278**,27***,2****,*****
27820,2782*,278**,27***,2****,*****
27821,2782*,278**,27***,2****,*****
27822,2782*,278**,27***,2****,*****
27823,2782*,278**,27***,2****,*****
27824,2782*,278**,27***,2****,*****
27825,2782*,278**,27***,2****,*****
27826,2782*,278**,27***,2****,*****
27827,2782*,278**,27***,2****,*****
27828,2782*,278**,27***,2****,*****
27829,2782*,278**,27***,2****,*****
27830,2783*,278**,27***,2****,*****
27831,2783*,278**,27***,2****,*****
27832,2783*,278**,27***,2****,*****
27833,2783*,278**,27***,2****,*****
27834,2783*,278**,27***,2****,*****
27835,2783*,278**,27***,2****,*****
27836,2783*,278**,27***,2****,*****
27837,2783*,278**,27***,2****,*****
27838,2783*,278**,27***,2****,*****
27839,2783*,278**,27***,2****,*****
27840,2784*,278**,27***,2****,*****
27841,2784*,278**,27***,2****,*****
27842,2784*,278**,27***,2****,*****
27843,2784*,278**,27***,2****,*****
27844,2784*,278**,27***,2****,*****
27845,2784*,278**,27***,2****,*****
27846,2784*,278**,27***,2****,*****
27847,2784*,278**,27***,2****,*****
27849,2784*,278**,27***,2****,*****
27850,2785*,278**,27***,2****,*****
27851,2785*,278**,27***,2****,*****
27852,2785*,278**,27***,2****,*****
27853,2785*,278**,27***,2****,*****
27854,2785*,278**,27***,2****,*****
27855,2785*,278**,27***,2****,*****
27856,2785*,278**,27***,2****,*****
27857,2785*,278**,27***,2****,*****
27858,2785*,278**,27***,2****,*****
27860,2786*,278**,27***,2****,*****
27861,2786*,278**,27***,2****,*****
27862,2786*,278**,27***,2****,*****
27863,2786*,278**,27***,2****,*****
27864,2786*,278**,27***,2****,*****
27865,2786*,278**,27***,2****,*****
27866,2786*,278**,27***,2****,*****
27867,2786*,278**,27***,2****,*****
27868,2786*,278**,27***,2****,*****
27869,2786*,278**,27***,2****,*****
27870,2787*,278**,27***,2****,*****
27871,2787*,278**,27***,2****,*****
27872,2787*,278**,27***,2****,*****
27873,2787*,278**,27***,2****,*****
27874,2787*,278**,27***,2****,*****
27875,2787*,278**,27***,2****,*****
27876,2787*,278**,27***,2****,*****
27877,2787*,278**,27***,2****,*****
27878,2787*,278**,27***,2****,*****
27879,2787*,278**,27***,2****,*****
27880,2788*,278**,27***,2****,*****
27881,2788*,278**,27***,2****,*****
27882,2788*,278**,27***,2****,*****
27883,2788*,278**,27***,2****,*****
27884,2788*,278**,27***,2****,*****
27885,2788*,278**,27***,2****,*****
27886,2788*,278**,27***,2****,*****
27887,2788*,278**,27***,2****,*****
27888,2788*,278**,27***,2****,*****
27889,2788*,278**,27***,2****,*****
